Scene,SceneRole,Config,BaselineMethod,ProposedMethod,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Primary,Default,DCC-like,Risk-constrained-v6,TimelyRate,0.979866888519135,0.00545414495154932,0.991813643926789,0.00344196137102871,0.0119467554076538,1.19467554076538,0.0111175350541935,0.0127759757611142,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,0.997647058823529,2.32480977031271,Meaningful,1.78005908680576e-306,p < 1e-15,***
10014,Primary,Default,DCC-like,Risk-constrained-v6,LossRate,0.0201331114808652,0.00545414495154919,0.0081863560732113,0.00344196137102884,-0.0119467554076539,-1.19467554076539,-0.0127759757611142,-0.0111175350541936,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-0.997647058823529,-2.32480977031274,Meaningful,1.78005908680576e-306,p < 1e-15,***
10014,Primary,Default,DCC-like,Risk-constrained-v6,AvgDelay,0.0385789208932245,0.00216652196343146,0.017353066814409,0.00120657982170193,-0.0212258540788155,-55.0193048104239,-0.0215399787232621,-0.0209117294343689,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-10.9036164849872,Meaningful,1.78005908680576e-306,p < 1e-15,***
10014,Primary,Default,DCC-like,Risk-constrained-v6,AvgTxCost,4.07303926788687,0.00254774457854101,2.00055241264559,0.031027786794728,-2.07248685524128,-50.8830560898693,-2.07754551433578,-2.06742819614677,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-66.1094851523471,SeeDelta,1.78005908680576e-306,p < 1e-15,***
10014,Primary,Default,DCC-like,Risk-constrained-v6,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,Primary,ForestGeometry,DCC-like,Risk-constrained-v6,TimelyRate,0.799833610648919,0.00221072917016142,0.799400998336106,0.00503293758701834,-0.000432612312812068,-0.0432612312812108,-0.00121456974236205,0.000349345116737912,0.527870515709212,p = 0.5279,1,p = 1,n.s.,n.s.,-0.109756097560976,-0.0892736248148514,Below1pp,1,p = 1,n.s.
10014,Primary,ForestGeometry,DCC-like,Risk-constrained-v6,LossRate,0.200133111480865,0.00220535555117532,0.200499168053245,0.00512295271268192,0.000366056572379417,0.036605657237937,-0.000437209276040061,0.00116932242079889,0.603081937290959,p = 0.6031,1,p = 1,n.s.,n.s.,0.0859465737514518,0.0735353746177363,Below1pp,1,p = 1,n.s.
10014,Primary,ForestGeometry,DCC-like,Risk-constrained-v6,AvgDelay,0.0942602410184838,0.000837549728681274,0.0801658886685875,0.00193947242902532,-0.0140943523498963,-14.9525952804773,-0.0144023890702072,-0.0137863156295854,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-7.38329187035583,Meaningful,1.78005908680576e-306,p < 1e-15,***
10014,Primary,ForestGeometry,DCC-like,Risk-constrained-v6,AvgTxCost,3.86865224625625,1.34579353601466e-15,2.28425324459235,0.047505662547379,-1.5843990016639,-40.9548054673859,-1.592064718676,-1.5767332846518,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-33.3517925380733,SeeDelta,1.78005908680576e-306,p < 1e-15,***
10014,Primary,ForestGeometry,DCC-like,Risk-constrained-v6,EmgTimely,0.01,0.0399829895803493,0.0233333333333333,0.0753675799587829,0.0133333333333333,1.33333333333333,0.00596308667940024,0.0207035799872664,0.0389998213215357,p = 0.039,0.116999463964607,p = 0.117,*,n.s.,1,0.291920179679905,Meaningful,0.584997319823035,p = 0.585,n.s.
10006,Reference,Default,DCC-like,Risk-constrained-v6,TimelyRate,0.918435940099833,0.0088204614084983,0.989983361064892,0.00301587577978752,0.0715474209650583,7.15474209650585,0.0700878703097576,0.0730069716203591,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,7.91010438497598,Meaningful,1.78005908680576e-306,p < 1e-15,***
10006,Reference,Default,DCC-like,Risk-constrained-v6,LossRate,0.0813311148086523,0.00890429737796318,0.00931780366056572,0.00304403339074535,-0.0720133111480866,-7.20133111480866,-0.0734829470485265,-0.0705436752476466,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-7.90697618971475,Meaningful,1.78005908680576e-306,p < 1e-15,***
10006,Reference,Default,DCC-like,Risk-constrained-v6,AvgDelay,0.0707547393457775,0.00341234210767291,0.0239986346904632,0.000939370565586915,-0.0467561046553143,-66.081940358536,-0.0472983119022929,-0.0462138974083357,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-13.9149101840681,Meaningful,1.78005908680576e-306,p < 1e-15,***
10006,Reference,Default,DCC-like,Risk-constrained-v6,AvgTxCost,4.46737271214643,0.000164717053853633,2.84895673876871,0.00762516267387652,-1.61841597337772,-36.2274669623462,-1.61964581623867,-1.61718613051676,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-212.347882699064,SeeDelta,1.78005908680576e-306,p < 1e-15,***
10006,Reference,Default,DCC-like,Risk-constrained-v6,EmgTimely,0.995526315789473,0.0035014917312401,0.995065789473684,0.0034691783506188,-0.000460526315789462,-0.04605263157893,-0.00121127249187122,0.000290219860292298,0.483971768575272,p = 0.484,0.483971768575272,p = 0.484,n.s.,n.s.,-0.1,-0.0989848493865561,Below1pp,1,p = 1,n.s.
10006,Reference,ForestGeometry,DCC-like,Risk-constrained-v6,TimelyRate,0.708885191347754,0.00244633807088531,0.713078202995008,0.00505534016184772,0.00419301164725455,0.41930116472545,0.00347289619317473,0.00491312710133436,3.07340819460933e-11,p = 3.073e-11,6.14681638921866e-11,p = 6.147e-11,***,***,0.918292682926829,0.939574758219028,Below1pp,6.14681638921866e-10,p = 6.147e-10,***
